Rank,Name,website,Country,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2024 (€),Revenue 2021 (€),Employees 2024,Employees 2021,Founding year,linkedin_company_profile
468,leddiretto.it,leddiretto.it,Italy,Ecommerce,195.7,43.5,"12,992,415","4,394,061",18,7,2015,
185,Löwenanteil,loewenanteil.com,Germany,Ecommerce,499,81.6,19829200,3310625,27,3,2017,
618,Maison De La Soie,maisondelasoie.com,France,Ecommerce,134.1,32.8,"2,975,953","1,271,152",6,2,2012,https://fr.linkedin.com/company/maison-de-la-soie
525,MissPompadour,misspompadour.com,Germany,Ecommerce,169.5,39.2,"17,206,624","6,384,549",110,25,2019,
68,Moonwards,moonwards.de,Germany,Ecommerce,1193.8,134.8,7157691,553214,5,2,2018,
384,MoreToTrade,moretotrade.it,Italy,Ecommerce,241.1,50.5,"4,157,319","1,218,752",11,6,2014,https://www.linkedin.com/company/moretotrade-srl/?viewAsMember=true
740,MPB Group,mpb.com,UK,Ecommerce,103.8,26.8,"240,373,159","116,381,419",506,349,2011,https://uk.linkedin.com/company/mpbcom
557,my Boo,my-boo.de,Germany,Ecommerce,158.4,37.2,"19,601,850","7,585,315",104,57,2013,
545,NCM Auctions & Asset Management,ncmauctions.co.uk,UK,Ecommerce,160.3,37.6,"11,352,787","4,304,538",20,9,2012,https://uk.linkedin.com/company/ncm-asset-mangement-&-auctioneers
334,Online-Phones 24,flo.uri.sh,Germany,Ecommerce,286.4,56.9,"48,932,158","12,663,861",16,14,2018,
799,Parama,paramashop.it,Italy,Ecommerce,92.4,24.4,"9,653,758","5,018,742",27,3,2020,https://www.linkedin.com/company/paramasrl
72,PureXtracts,purextracts.co.uk,UK,Ecommerce,1139.9,131.5,2772141,220626,5,5,2018,
811,Rhein-Sani,markt-bau.de,Germany,Ecommerce,90.9,24,"10,587,496","5,547,668",28,8,2016,
364,Sayano,sayano.de,Germany,Ecommerce,256.2,52.7,"9,612,624","2,699,038",13,3,2017,https://se.linkedin.com/company/sayano?trk=similar-pages_result-card_full-click
118,Shapen,shapenbarefoot.com,Slovakia,Ecommerce,778,106.3,3382368,385246,12,1,2018,
493,Spacefoot,spacefoot.com,France,Ecommerce,183.9,41.6,"70,120,884","24,700,154",171,106,2008,
274,Sparklers Club,sparklers-club.com,France,Ecommerce,342.5,64.2,"10,365,979","2,342,407",25,7,2015,
97,Steiger Naturals,steiger-naturals.de,Germany,Ecommerce,893.7,115,26396822,2656361,10,6,2016,
287,Störtebekker,stoertebekker.com,Germany,Ecommerce,326.8,62.2,"6,962,818","1,631,379",7,4,2018,
301,Web Al Chilo,webalchilo.it,Italy,Ecommerce,310,60.1,"15,417,227","3,760,472",24,13,2013,https://lu.linkedin.com/company/web-al-chilo-srl
281,Wux,wux.nl,Netherlands,Ecommerce,335.7,63.3,"1,532,851","351,836",24,3,2009,
885,Yocabe,yocabe.com,Italy,Ecommerce,77,21,"9,756,358","5,512,232",21,15,2016,https://www.linkedin.com/company/yocabe
459,AIHR,aihr.com,Netherlands,Education & Social Services,200.1,44.2,"15,226,559","5,074,238",98,42,2016,
291,Cambridge Spark,cambridgespark.com,UK,Education & Social Services,320.4,61.4,"22,377,064","5,253,041",143,38,2016,
861,Cipec International School,cipec.com,France,Education & Social Services,81.2,21.9,"1,878,208","1,036,773",24,16,2020,https://www.linkedin.com/company/cipec-international-school/
924,Completude,completude.com,France,Education & Social Services,71.3,19.7,"16,825,906","9,820,042",130,94,2001,https://www.linkedin.com/company/completude/
825,Dynamicom Education,dynamicom-education.it,Italy,Education & Social Services,88.7,23.6,"23,002,137","12,189,449",37,23,2001,https://it.linkedin.com/company/dynamicom-education-srl
344,Educ-Up,educ-up.fr,France,Education & Social Services,277.5,55.7,"6,534,907","1,731,040",157,49,2016,https://fr.linkedin.com/company/educ-up
270,Epicode Institute of Technology,epicode.com,Italy,Education & Social Services,345.7,64.6,"5,273,000","1,183,000",32,6,2020,
464,Equal Education,equal.education,UK,Education & Social Services,196.9,43.7,"4,198,384","1,395,438",15,10,2012,https://uk.linkedin.com/company/equal-education-uk
500,Erasmus Learning Academy,erasmuslearningacademy.eu,Italy,Education & Social Services,180.1,41,"1,954,524","697,851",4,3,2020,
504,Fluentbe,fluentbe.com,Poland,Education & Social Services,176.1,40.3,"6,062,376","2,042,083",20,2,2015,
649,Ifom,ifom.info,Italy,Education & Social Services,126.8,31.4,"2,221,499","979,549",8,5,2015,https://www.linkedin.com/company/istitute-for-training-emmployability-and-learning-mobility
853,Imaios,imaios.com,France,Education & Social Services,82.7,22.3,"4,635,225","2,537,280",35,27,2008,https://www.linkedin.com/company/imaios-sas
846,Kinougarde,kinougarde.com,France,Education & Social Services,83.9,22.5,"81,707,717","44,425,685","2,246","1,341",2010,https://www.linkedin.com/company/kinougarde/
161,Ouihelp,ouihelp.fr,France,Education & Social Services,582.8,89.7,35635363,5219053,419,141,2016,https://fr.linkedin.com/company/ouihelp.fr
156,Oxford Royale,oxford-royale.com,UK,Education & Social Services,606.7,91.9,19170759,2676718,38,79,2004,
151,Oxford Summer Courses,oxfordsummercourses.com,UK,Education & Social Services,633.1,94.3,15762795,2121631,33,27,2012,
176,Rocksteady Music School,rocksteadymusicschool.com,UK,Education & Social Services,526,84.3,26221579,4133690,448,217,2012,https://uk.linkedin.com/company/rocksteady-music-school
791,SA Formação,sa-formacao.pt,Portugal,Education & Social Services,94.2,24.8,"10,043,270","5,170,521",92,61,2009,https://uk.linkedin.com/company/sa-formacao
769,Skills Consulting,skills.it,Italy,Education & Social Services,98.7,25.7,"4,203,623","2,115,994",38,32,2013,
604,Superprof,superprof.fr,France,Education & Social Services,139.7,33.8,"41,626,349","17,369,878",137,112,2011,
75,U Lead,u-lead.it,Italy,Education & Social Services,1088.8,128.2,3030344,254911,33,9,2020,
126,Zen Educate,zeneducate.com,UK,Education & Social Services,752.1,104.3,81899393,9484271,341,89,2017,https://www.linkedin.com/company/zen-educate
227,81 klima,81klima.cz,Czech Republic,Electrical Manufacturing,410,72.1,10230574,2032223,25,10,2015,
380,btv technologies,btv-technologies.com,Germany,Electrical Manufacturing,242.3,50.7,"185,099,473","54,079,286",111,113,1997,https://www.linkedin.com/company/btv-technologies-gmbh
585,Climax Deutschland,climax.de,Germany,Electrical Manufacturing,150.1,35.7,"10,461,913","4,183,293",8,6,2005,https://www.linkedin.com/company/climax-deutschland
531,HG Medical,hg-medical.group,Germany,Electrical Manufacturing,166.4,38.6,"40,535,000","15,216,000",201,130,2007,https://www.linkedin.com/company/hg-medical-gmbh-usa
17,i-charging,i-charging.tech,Portugal,Electrical Manufacturing,3987.3,244.5,41096089,1005460,111,33,2019,https://www.linkedin.com/company/i-charging
613,Inova Semiconductors,inova-semiconductors.de,Germany,Electrical Manufacturing,136.1,33.2,"59,776,600","25,319,000",54,38,1999,https://www.linkedin.com/company/inova-semiconductors-gmbh/
774,IRS Systementwicklung,irs.systems,Germany,Electrical Manufacturing,97.7,25.5,"20,713,439","10,479,345",108,87,1998,https://de.linkedin.com/company/irssystems
52,Kalray,kalrayinc.com,France,Electrical Manufacturing,1605.6,157.4,24800000,1454000,225,150,2008,
133,Kempower Corporation,kempower.com,Finland,Electrical Manufacturing,717.5,101.5,223697200,27363000,786,136,2017,https://www.linkedin.com/company/kempower-corporation
246,Lammertz-Elektrotechnik,lammertz-elektrotechnik.de,Germany,Electrical Manufacturing,370.7,67.6,12937764,2748576,72,29,2018,
599,Merus Power,meruspower.com,Finland,Electrical Manufacturing,142.6,34.4,"35,833,967","14,770,437",117,51,2008,https://www.linkedin.com/company/merus-power
186,Moasure,moasure.co.uk,UK,Electrical Manufacturing,498.4,81.6,16783648,2767657,55,20,2014,
684,PICadvanced,picadvanced.com,Portugal,Electrical Manufacturing,115.2,29.1,"42,924,776","19,943,697",58,40,2014,https://www.linkedin.com/company/picadvanced/
658,Pik AG,pik.de,Germany,Electrical Manufacturing,122.7,30.6,"42,722,000","19,187,000",139,77,1991,https://de.linkedin.com/company/pik-ag
312,Prüfhelden,pruefhelden.de,Germany,Electrical Manufacturing,300.9,58.9,"2,066,744","515,552",25,3,2019,
832,Sikora,sikora.net,Germany,Electrical Manufacturing,87.2,23.3,"97,530,672","52,091,948",272,207,1973,
253,Wilson Power Solutions,wilsonpowersolutions.co.uk,UK,Electrical Manufacturing,363,66.7,"136,980,946","29,192,838",410,235,2021,https://uk.linkedin.com/company/wilson-power-solutions
818,365Werk,365werk.nl,Netherlands,Employment Services,89.5,23.7,"43,716,103","23,075,576",60,22,2013,
16,Apply Gateway,applygateway.io,UK,Employment Services,4048.5,246.2,9888249,235206,8,2,2017,https://www.linkedin.com/company/apply-gateway
690,Chemploy,chemploy.eu,Netherlands,Employment Services,113.3,28.7,"2,494,094","1,169,588",23,11,2015,https://be.linkedin.com/company/chemploy
708,comvaHRo,comvahro.de,Germany,Employment Services,109.2,27.9,"6,575,547","3,142,597",53,27,2016,
819,Coopemploi,coop-emploi.fr,France,Employment Services,89.4,23.7,"69,734,200","36,823,048","1,360",870,2016,https://fr.linkedin.com/company/coop-emploi
198,Extracadabra,extracadabra.com,France,Employment Services,474.3,79.1,23188977,4037860,67,32,2015,https://www.linkedin.com/company/extracadabra/
197,Finish Pack,finishpack.de,Germany,Employment Services,475.3,79.2,9821639,1707128,236,60,2017,
710,Freelance.com,freelance.com,France,Employment Services,108.9,27.8,"1,049,713,000","502,574,000",375,282,1991,https://www.linkedin.com/company/freelance/
823,Headfound,headfound.com,Germany,Employment Services,88.9,23.6,"9,384,614","4,969,141",62,19,2019,
488,Klemme Personalmanagement,klemme-personal.de,Germany,Employment Services,186.9,42.1,"31,428,724","10,953,793","1,184",404,2020,
359,La Belle Equipe,agence-labelleequipe.com,France,Employment Services,262.6,53.6,"6,324,000","1,744,000",110,18,2018,https://fr.linkedin.com/company/agence-la-belle-equipe
450,Linking Talents,linkingtalents.fr,France,Employment Services,204.5,44.9,"27,007,981","8,870,046",226,60,2007,https://www.linkedin.com/company/groupe-linking-talents/
831,Matchr,matchr.io,Netherlands,Employment Services,87.3,23.3,"2,626,620","1,402,115",31,20,2018,https://www.linkedin.com/company/matchr
376,Metric,metric-search.com,UK,Employment Services,246.4,51.3,"15,252,988","4,039,540",82,22,2019,https://www.linkedin.com/company/metric-search
19,NList,nlist.nl,Netherlands,Employment Services,3573,232.4,14995242,408258,15,3,2018,
756,Pro Contact Group,pro-contact.nl,Netherlands,Employment Services,101.8,26.4,"7,421,617","3,677,570",68,30,2012,https://www.linkedin.com/company/pro-contact-bv
669,QCS Staffing,qcsstaffing.com,UK,Employment Services,119.1,29.9,"159,342,923","71,776,583",119,78,1992,https://www.linkedin.com/company/qcs-staffing
15,Quantum Cooperative Hungary,qdiak.hu,Hungary,Employment Services,4187.8,250,7148445,185753,45,4,2020,
366,Sonas Technical,sonastechnical.com,Ireland,Employment Services,254,52.4,"2,307,560","651,898",10,10,2016,https://ie.linkedin.com/company/sonas-technical
682,Soorce,soorce.de,Germany,Employment Services,116.3,29.3,"64,402,467","29,776,000",340,150,2005,https://www.linkedin.com/company/soorce-gmbh/
935,Spendit,spendit.de,Germany,Employment Services,69.3,19.2,"8,382,868","4,950,497",76,50,2014,
420,Strato Personal,strato-personal.de,Germany,Employment Services,225.6,48.2,"15,618,500","4,797,000",174,94,2010,https://de.linkedin.com/company/stratopersonal-gmbh
747,Technix,technix.nl,Netherlands,Employment Services,103.2,26.7,"9,979,524","4,911,542",102,62,2015,https://fi.linkedin.com/company/technix-eindhoven
660,Valumen Groupe,valumen.com,France,Employment Services,121.5,30.4,"14,401,400","6,501,669",20,6,2015,
428,4 Energy,4-energy.it,Italy,Energy & Utilities,217.4,47,"7,300,148","2,300,177",4,3,2014,https://it.linkedin.com/company/4-energy-srl
264,A1 Solar,a1solar.hu,Hungary,Energy & Utilities,355.9,65.8,"7,855,191","1,919,908",13,9,2019,https://www.linkedin.com/company/a1solarstore
293,Acteam Enr,acteamenr.fr,France,Energy & Utilities,318.4,61.1,"30,422,350","7,270,403",38,10,2012,
397,Alba,albaimpianti.it,Italy,Energy & Utilities,235,49.6,"11,523,896","3,439,710",56,33,2010,https://www.linkedin.com/company/alba-soluzioni
296,Alliance Des Énergies,alliancedesenergies.fr,France,Energy & Utilities,313.5,60.5,"21,630,745","5,230,685",78,27,2020,https://www.linkedin.com/company/alliance-des-energies/
150,Antares Energia,antaresenergia.it,Italy,Energy & Utilities,633.6,94.3,38349523,5227542,13,8,2013,https://hk.linkedin.com/company/antares-energia-e-gas
70,Anyos,anyos.fr,France,Energy & Utilities,1180.5,134,1510563,117970,16,3,2019,https://fr.linkedin.com/company/anyosfr
443,Ares,cabinet-ares.com,France,Energy & Utilities,207.2,45.4,"37,129,387","12,085,848",56,48,2009,
240,Beratung Wink,beratung-wink.com,Germany,Energy & Utilities,378.4,68.5,5067812,1059363,19,18,1998,
940,Cargo,cargosrl.it,Italy,Energy & Utilities,68.9,19.1,"38,190,326","22,611,950",224,220,1984,
320,Clever,clever.dk,Denmark,Energy & Utilities,292.9,57.8,"206,448,819","52,698,483",345,136,2009,
12,ECOnnect Energy,econnectenergy.com,Norway,Energy & Utilities,5439.6,281.2,89962018,1917648,30,12,2012,https://no.linkedin.com/company/econnect-energy
591,energie+agrar,energieplusagrar.de,Germany,Energy & Utilities,146.1,35,"9,319,338","3,786,196",12,7,2018,
313,Energiekonzepte Deutschland,ekd-solar.de,Germany,Energy & Utilities,300,58.7,"280,000,000","70,000,000",366,34,2018,
121,Energies De Loire,energiesdeloire.com,France,Energy & Utilities,761.8,105,61242458,7106673,101,17,2018,https://www.linkedin.com/company/edl/life
416,Energy Bridge,energybridge.nl,Netherlands,Energy & Utilities,226.1,48.3,"3,691,000","1,132,000",15,6,2019,
31,ENERGYBubble,energybubble.co.uk,UK,Energy & Utilities,2377.3,191.5,2838237,113058,10,2,2021,
641,energysolutions24,energysolutions24.de,Germany,Energy & Utilities,127.9,31.6,"21,103,100","9,261,800",18,15,2008,https://de.linkedin.com/company/energysolutions24-gmbh
18,Enico,enico.fi,Finland,Energy & Utilities,3849.3,240.5,8889782,225100,11,2,2019,
757,Exceed,xcd.com,UK,Energy & Utilities,101.8,26.4,"34,339,950","16,792,022",84,52,2005,https://uk.linkedin.com/company/exceed-energy
575,Gesco,gesco.energy,Italy,Energy & Utilities,153.8,36.4,"26,834,174","10,573,503",56,37,2006,https://it.linkedin.com/company/gesco-spa
100,Grid & Co.,gridundco.de,Germany,Energy & Utilities,870.3,113.3,2940000,303000,6,3,2015,
351,Groupe Roy Énergie,gre-enr.fr,France,Energy & Utilities,272.9,55.1,"38,857,012","10,421,086",172,48,2016,
850,H2Air,h2air.fr,France,Energy & Utilities,83.3,22.4,"37,712,000","20,570,131",152,79,2008,
871,HoSt Group,host-group.com,Netherlands,Energy & Utilities,79.3,21.5,"152,988,408","85,349,608",550,200,1991,https://www.linkedin.com/company/host-bioenergy
611,Hydrogen-Refueling-Solutions (HRS),hydrogen-refueling-solutions.fr,France,Energy & Utilities,136.3,33.2,"24,780,000","10,488,273",163,78,2004,
542,ILF Consulting Engineers Germany,ilf.com,Germany,Energy & Utilities,160.9,37.7,"95,112,427","36,454,475",437,243,1967,https://ge.linkedin.com/company/ilf-consulting-engineers
93,International Energy Products,internationalenergyproducts.com,UK,Energy & Utilities,925.2,117.2,7945002,764711,15,6,2017,https://uk.linkedin.com/company/internationalenergyproducts
783,Italtekno,italtekno.com,Italy,Energy & Utilities,95.8,25.1,"2,793,100","1,426,299",7,2,2008,https://in.linkedin.com/company/italtecno-srl
244,Kecxwind,kecxwind.com,Netherlands,Energy & Utilities,374.5,68,3981047,839027,29,4,2017,
29,Lhyfe,lhyfe.com,France,Energy & Utilities,2488.3,195.8,5099000,197000,199,57,2019,
609,Maingau Energie,maingau-energie.de,Germany,Energy & Utilities,136.3,33.2,"1,278,592,765","541,083,060",360,204,1907,
164,Matrix Renewables,matrixrenewables.com,Spain,Energy & Utilities,567.5,88.3,61206757,8410665,127,40,2020,
881,Maxx Solar & Energie,maxx-solar.de,Germany,Energy & Utilities,77.2,21,"18,088,000","10,209,391",78,30,2008,
489,Menlo Electric,menloelectric.com,Poland,Energy & Utilities,186,41.9,"134,796,000","47,138,000",102,24,2020,
14,Milk the Sun,milkthesun.com,Germany,Energy & Utilities,4584,260.5,40037735,854770,35,6,2012,https://www.linkedin.com/company/milk-the-sun/
155,Millenergie,millenergie.eu,Italy,Energy & Utilities,611.3,92.3,1957209,275158,11,3,1988,
728,Mk Energies,mk-energies.fr,France,Energy & Utilities,105.8,27.2,"46,859,518","22,771,000",185,131,2013,
418,NRG MED,nrg-med.com,Italy,Energy & Utilities,225.8,48.3,"22,005,931","6,753,833",112,37,2017,https://it.linkedin.com/company/nrg-med-s-r-l
250,Oenergy,oenergy.it,Italy,Energy & Utilities,363.9,66.8,88925443,19170604,16,12,2010,https://www.linkedin.com/company/energy-only-s-r-l-
568,Opéra Energie,opera-energie.com,France,Energy & Utilities,155.9,36.8,"32,735,924","12,794,447",170,108,2014,https://www.linkedin.com/company/op%C3%A9ra-energie
5,Penisola Gas & Power,penisolagas.it,Italy,Energy & Utilities,10857.7,378.5,47018561,429090,2,1,2017,
858,Polarstern,polarstern-energie.de,Germany,Energy & Utilities,81.4,22,"81,748,680","45,061,853",71,40,2011,
938,Principia Energy,principia-energy.com,Greece,Energy & Utilities,69,19.1,"120,785,917","71,458,390",140,115,2009,https://www.linkedin.com/company/principiaenergy
882,QHeat,qheat.com,Finland,Energy & Utilities,77.1,21,"2,615,589","1,477,132",10,9,2018,https://fi.linkedin.com/company/qheat
767,Renewa,renewa.de,Germany,Energy & Utilities,99,25.8,"4,153,500","2,087,368",67,42,2010,
230,Silversun,groupe-silversun.com,France,Energy & Utilities,397.6,70.7,35555581,7145500,92,19,2019,https://www.linkedin.com/company/silbersonne-led-systems-sl/
719,Singulair,singulair.io,France,Energy & Utilities,107.2,27.5,"4,013,660","1,937,006",17,6,2014,https://www.linkedin.com/company/singulair/
245,Think Hire,thinkhire.co.uk,UK,Energy & Utilities,371.5,67.7,11428045,2391709,46,8,2018,https://uk.linkedin.com/company/thinkhire
652,Triex,triex.co.uk,UK,Energy & Utilities,125.9,31.2,"5,427,048","2,370,347",12,2,2018,https://uk.linkedin.com/company/triex-limited
903,Urban Solar Energy,urbansolarenergy.fr,France,Energy & Utilities,74.3,20.3,"17,481,702","10,031,908",18,6,2007,
600,Voltaïca,voltaica.fr,France,Energy & Utilities,142.5,34.4,"19,173,263","7,905,513",34,3,2008,https://www.linkedin.com/company/voltaicagroupe
6,WinAlliance Green,winalliancegreen.it,Italy,Energy & Utilities,10595.2,374.7,40093002,374870,1,1,2016,
534,Yorkshire Gas and Power,ygp.co.uk,UK,Energy & Utilities,165.2,38.4,"88,766,615","33,030,934",75,35,2008,https://uk.linkedin.com/company/yorkshire-gas-and-power
239,Zenobē,zenobe.com,UK,Energy & Utilities,378.5,68.5,116769580,24082449,269,73,2016,https://www.linkedin.com/company/zenobe-energy-ltd
58,Allica,allica.bank,UK,Fintech Financial Services & Insurance,1438.7,148.7,145229021,9313562,658,184,2019,https://uk.linkedin.com/company/allicabank
107,Babylone Consulting,babyloneconsulting.fr,France,Fintech Financial Services & Insurance,825,109.9,6003150,649000,2,2,2020,https://fr.linkedin.com/company/babylone-consulting
87,Currensea,currensea.com,UK,Fintech Financial Services & Insurance,967,120.2,4446165,411199,25,13,2018,
199,Draivi,draivi.com,Finland,Fintech Financial Services & Insurance,473.7,79,20133217,3509499,25,11,2012,https://www.linkedin.com/company/draivi
76,Fasst,fasst.io,France,Fintech Financial Services & Insurance,1079.8,127.7,11630999,985843,107,16,2017,
104,Flagstone,flagstoneim.com,UK,Fintech Financial Services & Insurance,842.7,111.3,66691156,6981063,288,129,2013,https://uk.linkedin.com/company/flagstone-international-ltd
59,Flanks,flanks.io,Spain,Fintech Financial Services & Insurance,1411.2,147.2,2690000,178000,69,9,2019,https://es.linkedin.com/company/flanks-io
44,Grid Finance,gridfinance.ie,Ireland,Fintech Financial Services & Insurance,1850.9,169.2,3300407,169178,22,14,2013,https://ie.linkedin.com/company/grid-finance-and-analytics
154,Heymondo,heymondo.es,Spain,Fintech Financial Services & Insurance,614.5,92.6,13452267,1882655,60,18,2016,
153,LoanTube,loantube.com,UK,Fintech Financial Services & Insurance,618.2,92.9,2717984,373436,15,5,2016,https://uk.linkedin.com/company/loantube
102,Love Finance,lovefinance.co.uk,UK,Fintech Financial Services & Insurance,862.7,112.7,11175243,1145469,72,11,2016,https://uk.linkedin.com/company/lovefinancehq
137,Machina Capital,machinacap.com,France,Fintech Financial Services & Insurance,705.2,100.4,14289887,1774750,13,8,2016,https://zw.linkedin.com/company/machinacap
191,Masthaven Finance,masthaven.co.uk,UK,Fintech Financial Services & Insurance,490.6,80.8,24736493,4133098,43,18,1999,https://uk.linkedin.com/company/masthaven-finance
103,Moneybox,moneyboxapp.com,UK,Fintech Financial Services & Insurance,843.7,111.3,115518945,12079466,412,201,2015,
184,Paynetics,paynetics.digital,Bulgaria,Fintech Financial Services & Insurance,501,81.8,47857516,7963204,152,100,2013,https://uk.linkedin.com/company/paynetics
148,Paystrax,paystrax.com,Lithuania,Fintech Financial Services & Insurance,643.5,95.2,31155406,4190265,100,27,2018,https://lt.linkedin.com/company/paystrax
192,POM,pom.be,Belgium,Fintech Financial Services & Insurance,490.3,80.7,7833068,1326910,16,10,2014,https://be.linkedin.com/company/pom-be
131,Raylo,raylo.com,UK,Fintech Financial Services & Insurance,727.2,102.2,33689911,4018898,73,58,2018,https://uk.linkedin.com/company/raylo
106,Titanbay,titanbay.com,UK,Fintech Financial Services & Insurance,828.4,110.2,5329319,566478,75,45,2019,https://uk.linkedin.com/company/titanbay
38,Wallester,wallester.com,Estonia,Fintech Financial Services & Insurance,2070.2,178.9,17150525,790267,123,15,2009,
143,Wayflyer,wayflyer.com,Ireland,Fintech Financial Services & Insurance,680.9,98.4,95242000,12196000,330,200,2019,https://www.linkedin.com/company/wayflyer
391,Acquired.com,acquired.com,UK,"Fintech, Financial Services & Insurance",238.6,50.2,"8,218,720","2,395,081",45,10,2015,https://uk.linkedin.com/company/acquired-payments
339,Alan,alan.com,France,"Fintech, Financial Services & Insurance",281,56.2,"325,963,000","85,546,000",607,423,2016,
268,Aprila Bank,aprila.no,Norway,"Fintech, Financial Services & Insurance",353.1,65.5,"19,681,111","4,343,248",41,22,2017,
985,Arundo Re,arundore.com,France,"Fintech, Financial Services & Insurance",61.6,17.3,"1,361,480,895","842,653,198",213,130,2016,https://www.linkedin.com/company/arundore
771,blau direkt,blaudirekt.de,Germany,"Fintech, Financial Services & Insurance",98.1,25.6,"251,302,000","126,862,000",249,108,2000,
705,Blue Ocean Finance,blueoceanfinance.it,Italy,"Fintech, Financial Services & Insurance",109.9,28,"3,241,672","1,544,283",10,10,2018,https://www.linkedin.com/company/blue-ocean-investment-group
328,Bumper International,bumper.co,UK,"Fintech, Financial Services & Insurance",289.7,57.4,"20,173,842","5,108,344",89,16,2013,
807,Buymadeeasy (BME Consulting),buymadeeasy.com,France,"Fintech, Financial Services & Insurance",91.3,24.1,"18,737,698","9,796,457",6,4,2012,https://fr.linkedin.com/company/buy-made-easy
389,Capital on Tap,capitalontap.com,UK,"Fintech, Financial Services & Insurance",239.7,50.3,"512,981,500","149,002,713",703,277,2012,
225,ClearBank,clear.bank,UK,"Fintech, Financial Services & Insurance",410.9,72.2,131812211,25459823,533,294,2015,
553,CR Payroll Solutions,crpayrollsolutions.com,Ireland,"Fintech, Financial Services & Insurance",159.1,37.3,"2,888,840","1,115,089",43,17,2018,https://ie.linkedin.com/company/cr-payroll
471,Elevation Capital Partners,elevation-cp.com,France,"Fintech, Financial Services & Insurance",193.9,43.2,"18,062,455","6,146,585",22,8,2015,
753,Explicit Selection,explicitselection.com,Netherlands,"Fintech, Financial Services & Insurance",102.5,26.5,"2,083,203","1,028,558",14,8,2017,
349,Fachzentrum Finanzen,dieterhomburg.de,Germany,"Fintech, Financial Services & Insurance",273.6,55.2,"3,036,248","812,703",18,8,1999,
298,Fair Collection,fair.no,Norway,"Fintech, Financial Services & Insurance",313.1,60.5,"9,614,074","2,748,378",65,8,2018,
308,Froda,frodaembedded.com,Sweden,"Fintech, Financial Services & Insurance",303.6,59.2,"46,249,197","11,458,312",84,34,2015,
214,Gain.pro,gain.pro,Netherlands,"Fintech, Financial Services & Insurance",431.1,74.5,8533330,1606606,360,130,2018,https://www.linkedin.com/company/gain-ai-super-app
805,Herzog Leasing,herzog-leasing.ag,Germany,"Fintech, Financial Services & Insurance",91.4,24.2,"70,296,269","36,730,726",28,16,2006,
646,Hodeva,hodeva.com,France,"Fintech, Financial Services & Insurance",127.3,31.5,"5,015,293","2,206,226",12,6,2010,https://ca.linkedin.com/company/hodeva
401,iBanFirst,ibanfirst.com,Belgium,"Fintech, Financial Services & Insurance",233.1,49.3,"67,268,506","20,195,204",273,254,2013,
615,Indexa Capital Group,group.indexacapital.com,Spain,"Fintech, Financial Services & Insurance",134.6,32.9,"6,618,518","2,821,219",49,26,2014,https://www.linkedin.com/company/indexa-capital/
266,Jeff,jeff-app.com,Latvia,"Fintech, Financial Services & Insurance",353.2,65.5,"10,201,795","2,064,778",40,18,2019,https://lv.linkedin.com/company/jeffapp
688,La Financière D'Orion,lafinancieredorion.fr,France,"Fintech, Financial Services & Insurance",113.8,28.8,"51,120,345","23,912,872",68,34,2009,https://www.linkedin.com/company/la-financiere-dorion/
540,Latitude Investment Management,latitudeim.com,UK,"Fintech, Financial Services & Insurance",161.4,37.8,"6,661,948","2,514,784",9,8,2016,https://uk.linkedin.com/company/latitudevc
828,Leasy,myleasy.com,France,"Fintech, Financial Services & Insurance",88.1,23.4,"20,062,882","10,665,800",8,4,2015,
400,Lemonway,lemonway.com,France,"Fintech, Financial Services & Insurance",233.8,49.5,"40,998,000","12,280,551",160,84,2007,
257,Les Associes,les-associes.fr,France,"Fintech, Financial Services & Insurance",360.4,66.4,"6,106,224","1,326,177",7,3,2020,
712,McGill and Partners,mcgillpartners.com,UK,"Fintech, Financial Services & Insurance",108.8,27.8,"208,085,860","91,436,636",552,386,2019,
587,MCO (MyComplianceOffice),mco.mycomplianceoffice.com,Ireland,"Fintech, Financial Services & Insurance",148.8,35.5,"48,817,184","17,998,566",402,142,1998,
817,Moneyfarm,moneyfarm.com,UK,"Fintech, Financial Services & Insurance",89.8,23.8,"22,338,584","11,614,377",190,126,2014,https://uk.linkedin.com/company/moneyfarm
720,My Pension Expert,mypensionexpert.com,UK,"Fintech, Financial Services & Insurance",107.1,27.5,"21,134,792","10,069,541",106,61,2010,https://uk.linkedin.com/company/my-pension-expert
725,Neodigital Versicherung,neodigital.de,Germany,"Fintech, Financial Services & Insurance",106.2,27.3,"28,625,000","13,884,000",124,75,2017,
898,Northmill Bank,northmill.com,Sweden,"Fintech, Financial Services & Insurance",75.6,20.6,"63,276,638","40,287,504",154,138,2006,https://www.linkedin.com/company/northmill-ab/
571,NúNú,nunu.is,Iceland,"Fintech, Financial Services & Insurance",154.9,36.6,"3,316,516","1,268,444",3,1,2020,
894,OakNorth,oaknorth.co.uk,UK,"Fintech, Financial Services & Insurance",75.9,20.7,"373,683,639","209,680,107",278,107,2015,https://www.linkedin.com/company/oaknorth-bank
908,Ondato,ondato.com,UK,"Fintech, Financial Services & Insurance",73.5,20.2,"7,375,000","4,250,000",112,175,2018,
295,Payitmonthly,payitmonthly.uk,UK,"Fintech, Financial Services & Insurance",315.4,60.8,"2,654,690","630,629",21,13,2015,https://uk.linkedin.com/company/payitmonthly
544,PensionBee,pensionbee.com,UK,"Fintech, Financial Services & Insurance",160.4,37.6,"40,043,175","15,177,084",204,177,2014,
